clientId;timeQueue;timeProcess
0;9;23
1;6;4
2;64;45
3;53;48
4;50;103
5;47;101
6;48;42
7;47;52
8;43;56
9;43;58
10;40;59
11;25;65
12;24;67
13;21;76
14;19;88
15;17;94
16;16;109
17;16;107
18;14;96
19;12;104
20;12;94
21;6;99
22;77;29
23;78;28
24;74;32
25;71;37
26;69;35
27;63;43
28;76;31
29;53;53
30;54;56
31;53;59
32;37;71
33;35;79
34;34;89
35;34;85
36;38;65
37;25;72
38;25;83
39;27;84
40;26;87
41;20;95
42;17;95
43;16;94
44;123;4
45;125;4
46;103;5
47;100;6
48;50;63
49;45;73
50;43;63
51;24;119
52;21;127
53;62;88
54;64;77
55;143;4
56;121;11
57;125;6
58;130;15
59;137;4
60;135;17
61;152;9
62;151;4
63;151;5
64;152;16
65;153;9
66;152;7
67;152;4
68;106;9
69;5;175
70;54;109
71;63;733
72;55;112
73;55;319
74;143;8
75;52;124
76;144;9
77;53;129
78;52;332
79;48;335
80;44;339
81;23;85
82;13;337
83;9;97
84;240;6
85;242;4
86;244;4
87;245;3
88;245;5
89;224;424
90;203;4
91;204;471
92;159;460
93;146;4
94;147;5
95;147;453
96;147;452
97;146;435
98;147;3
99;147;428
100;143;423
101;142;4
102;138;419
103;137;411
104;136;5
105;135;405
106;136;387
107;527;48
108;105;396
109;104;387
110;73;372
111;70;4
112;68;570
113;70;25
114;71;366
115;70;363
116;70;21
117;70;360
118;485;41
119;458;10
120;457;5
121;458;18
122;466;8
123;471;5
124;478;4
125;481;7
126;486;5
127;492;5
128;497;9
129;501;5
130;506;4
131;505;61
132;505;5
133;507;55
134;513;5
135;197;3
136;195;42
137;193;49
138;195;4
139;196;33
140;196;4
141;196;27
142;234;5
143;239;4
144;54;4
145;56;6
146;56;5
147;56;11
148;60;5
149;60;8
150;65;4
151;67;4
152;71;8
153;71;5
154;77;5
155;78;5
156;76;6
157;20;5
158;25;4
159;30;5
160;34;6
161;40;6
162;44;6
163;41;4
164;44;6
165;50;4
166;52;5
167;54;12
168;57;4
169;67;25
170;96;3
171;100;3
172;103;356
173;105;600
174;105;456
175;105;456
176;106;459
177;107;460
178;109;460
179;110;458
180;110;437
181;109;460
182;111;464
183;109;460
184;108;462
185;78;464
186;179;360
187;453;161
188;448;7
189;447;172
190;428;4
191;424;182
192;418;192
193;420;5
194;415;196
195;410;8
196;399;7
197;385;7
198;381;4
199;381;54
200;376;87
201;373;5
202;370;3
203;366;5
204;344;16
205;340;105
206;330;83
207;315;41
208;313;247
209;312;250
210;309;33
211;307;246
212;303;241
213;298;54
214;295;236
215;293;65
216;292;240
217;288;236
218;287;235
219;284;84
220;255;96
221;253;229
222;247;231
223;245;224
224;240;227
225;239;222
226;238;219
227;237;216
228;233;214
229;232;211
230;222;207
231;219;205
232;216;204
233;216;198
234;211;196
235;203;193
236;193;192
237;173;189
238;167;184
239;145;187
240;143;182
241;141;181
242;140;179
243;138;124
244;136;178
245;128;181
246;94;204
247;128;181
248;123;180
249;111;189
250;94;202
251;142;117

